roundnr;stepnr;Player;A;B;C;Total;NULL index;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner;ecset;wormset
18;35;Player 1;0;-1;38;-100;[3, 1, 2];14;1;True;;0;EC:Input:B =70;{' WC Name: A=0,B=-1,C=N '};;{0, 7, 14, 28, 29, 30};{0, 1, 2, 3, 4, 6, 7, 8, 9}
19;36;Player 0;5;20;45;-100;[3, 0, 2];4;0;True;;0;EC:Input:A =5;;;{0, 4, 7, 14, 28, 29, 30};{0, 1, 2, 3, 4, 6, 7, 8, 9}
19;37;Player 1;0;-1;38;-100;[3, 1, 2];26;2;True;['CPU1Captured'];0;EC:Task: T += B+(2*A);{' WC Name: Capture CPU '};;{0, 4, 7, 14, 26, 28, 29, 30};{5}
20;38;Player 0;5;20;45;-100;[3, 0, 2];24;2;True;;0;EC:Task: T += sum all/2;"{' WC Name: A=NULL; ', ' WC Name: C=NULL; '}";;{0, 4, 7, 14, 24, 26, 28, 29, 30};{0, 2, 5}
20;39;Player 1;0;-1;38;-100;[3, 1, 2];0;0;False;['CPU1Captured'];1;;;;{0, 4, 7, 14, 24, 26, 28, 29, 30};{0, 2, 5}
21;40;Player 0;5;50;45;-100;[3, 0, 2];13;0;True;;0;EC:Input:B =50;;;{0, 4, 7, 13, 14, 24, 26, 28, 29, 30};{0, 2, 5}
21;41;Player 1;0;-1;38;-100;[3, 1, 2];0;0;False;['CPU1Captured'];2;;;;{0, 4, 7, 13, 14, 24, 26, 28, 29, 30};{0, 2, 5}
22;42;Player 0;5;50;15;-100;[3, 0, 2];16;0;True;;0;EC:Input:C =15;;;{0, 4, 7, 13, 14, 16, 24, 26, 28, 29, 30};{0, 2, 5}
22;43;Player 1;75;-1;38;-100;[3, 1, 2];8;0;True;;0;EC:Input:A =75;;;{0, 4, 7, 8, 13, 14, 16, 24, 26, 28, 29, 30};{0, 2, 5}
23;44;Player 0;5;50;15;26;[0, 2];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 3, 4, 7, 8, 13, 14, 16, 24, 26, 28, 29, 30};{0, 2, 5}
23;45;Player 1;75;10;38;-100;[3, 1, 2];10;0;True;;0;EC:Input:B =10;;;{0, 3, 4, 7, 8, 10, 13, 14, 16, 24, 26, 28, 29, 30};{0, 2, 5}
24;46;Player 0;5;0;0;26;[0, 2, 3];22;1;True;;0;EC:Task: T += A+B+C;"{' WC Name: B,C=0; '}";;{0, 3, 4, 7, 8, 10, 13, 14, 16, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5}
