roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;50;30;25;58;[1];29;0;True;;0;EC:Resource: Freelancer;;;{0, 10, 29};{0}
1;1;Player 1;5;10;75;100;;4;0;True;;0;EC:Input:A =5;;Player 1;{0, 4};{0}
