roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;50;0;12;5;[2];7;0;True;;0;EC:Input:A =50;;;{0, 27, 7};{0}
1;1;Player 1;75;100;30;340;;8;0;True;;0;EC:Input:A =75;;Player 1;{0, 8};{0}
