roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;75;-10;25;-100;[3, 1, 2];17;0;True;;0;EC:Input:C =25;;;{0, 8, 17};{0}
1;1;Player 1;75;10;45;1373;;22;1;True;;0;EC:Task: T += A+B+C;;Player 1;{0, 22};{0}
