roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;10;-10;0;21;[1];5;0;True;;0;EC:Input:A =10;;;{0, 18, 5};{0}
1;1;Player 1;75;70;45;295;;14;1;True;;0;EC:Input:B =70;;Player 1;{0, 14};{0}
