roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;25;0;12;5;[2];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 25, 9};{0}
1;1;Player 1;50;100;30;340;;27;2;True;;0;EC:Task: x = 2x ! total;;Player 1;{0, 27};{0}
