roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;75;20;-20;0;[3];11;0;True;;0;EC:Input:B =20;;;{0, 10, 11};{0}
1;1;Player 1;25;10;150;100;;28;0;True;;0;EC:Resource: Restart;;Player 1;{0, 28};{0}
