roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;5;50;-20;0;[1, 0, 3, 2];30;0;True;;0;EC:Resource: Bazar;;;{0, 16, 30};{0}
1;1;Player 1;75;10;15;778;;25;2;True;;0;EC:Task: T += sum all;;Player 1;{0, 25};{0}
