roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;5;-10;45;-200;[3];18;0;True;;0;EC:Input:C =45;;;{0, 18, 19};{0}
1;1;Player 1;50;20;45;1616;;18;0;True;;0;EC:Input:C =45;;Player 1;{0, 18};{0}
