roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;30;5;-52;[1, 2, 0];12;0;True;;0;EC:Input:B =30;;;{0, 17, 12};{0}
1;1;Player 1;22;40;25;596;;23;1;True;;0;EC:Task: T = xx9x;;Player 1;{0, 23};{0}
