roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;5;10;25;62;[2, 1, 0, 3];4;0;True;;0;EC:Input:A =5;;;{0, 9, 4};{0}
1;1;Player 1;55;70;7;511;;24;2;True;;0;EC:Task: T += sum all/2;;Player 1;{0, 24};{0}
