roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;30;-20;58;[2, 3];12;0;True;;0;EC:Input:B =30;;;{0, 12, 6};{0}
1;1;Player 1;25;6;75;100;;1;1;True;;0;EC:Input:2 digit number<50;;Player 1;{0, 1};{0}
