roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;10;70;-20;-129;[3, 1, 2];0;0;False;['CPU1Captured'];2;;;;{0, 8};{0}
1;1;Player 1;5;10;25;715;;4;0;True;;0;EC:Input:A =5;;Player 1;{0, 4};{0}
