roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;50;0;12;55;[2];0;0;False;['CPU1Captured'];2;;;;{0, 1};{0}
1;1;Player 1;50;20;47;340;;11;0;True;;0;EC:Input:B =20;;Player 1;{0, 11};{0}
