roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;10;9;9;;10;0;True;;0;EC:Input:B =10;;;{0, 17, 10};{0}
1;1;Player 1;50;30;25;678;;17;0;True;;0;EC:Input:C =25;;Player 1;{0, 17};{0}
