roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;50;70;25;62;[2, 1, 0, 3];17;0;True;;0;EC:Input:C =25;;;{0, 17, 2};{0}
1;1;Player 1;55;70;50;445;;25;2;True;;0;EC:Task: T += sum all;;Player 1;{0, 25};{0}
