roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;10;0;-20;26;[2, 1, 3];0;0;False;['CPU1Captured'];1;;;;{0, 23};{0}
1;1;Player 1;25;50;75;194;;19;1;True;;0;EC:Input:C =75;;Player 1;{0, 19};{0}
