roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;75;-10;45;71;[0, 3, 1];8;0;True;;0;EC:Input:A =75;;;{0, 25, 8};{0}
1;1;Player 1;6;9;45;238;;22;1;True;;0;EC:Task: T += A+B+C;;Player 1;{0, 22};{0}
