roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;25;20;7;71;[0, 3, 1];0;0;False;['CPU1Captured'];2;;;;{0, 9};{0}
1;1;Player 1;5;9;45;118;;4;0;True;;0;EC:Input:A =5;;Player 1;{0, 4};{0}
