roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;25;30;-20;-100;[1, 2, 3];6;0;True;;0;EC:Input:A =25;;;{0, 6, 7};{0}
1;1;Player 1;50;50;150;1134;;20;1;True;;0;EC:Task: T += A+B;;Player 1;{0, 20};{0}
