roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;50;44;0;-600;[3, 2, 1];0;0;False;['CPU1Captured'];2;;;;{0, 8};{0}
1;1;Player 1;75;30;150;584;;12;0;True;;0;EC:Input:B =30;;Player 1;{0, 12};{0}
