roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;-1;25;-100;[1, 3, 2];0;0;False;['CPU1Captured'];1;;;;{0, 12};{0}
1;1;Player 1;25;30;10;5250;;6;0;True;;0;EC:Input:A =25;;Player 1;{0, 6};{0}
