roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;25;-1;15;26;[1, 3];6;0;True;;0;EC:Input:A =25;;;{0, 24, 6};{0}
1;1;Player 1;25;70;19;344;;3;0;True;;0;EC:Input:2 digit number<30;;Player 1;{0, 3};{0}
