roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;-1;5;-500;[3, 1, 2, 0];15;0;True;;0;EC:Input:C =5;;;{0, 27, 15};{0}
1;1;Player 1;22;40;10;536;;24;2;True;;0;EC:Task: T += sum all/2;;Player 1;{0, 24};{0}
