roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;-1;45;0;[0, 3, 2];18;0;True;;0;EC:Input:C =45;;;{0, 18, 29};{0}
1;1;Player 1;150;140;4;2028;;20;1;True;;0;EC:Task: T += A+B;;Player 1;{0, 20};{0}
